id,name,type,lat,lon,elevation,description,facilities,capacity
雪北山屋,雪北山屋,shelter,24.411398,121.2431,3590.0,,,
雪山北峰,雪山北峰,peak,24.41469,121.240472,3703.0,,,
北稜角,北稜角,peak,24.387049,121.23147,3882.0,,,
雪山主峰,雪山主峰,peak,24.382906,121.231985,3885.0,,,
雪山東峰,雪山東峰,peak,24.388749,121.271896,3299.0,,,
七卡山莊,七卡山莊,shelter,24.384235,121.286402,2510.0,,,
翠池山屋,翠池山屋,shelter,24.38486,121.223059,9999.0,,,
翠池三叉山,翠池三叉山,peak,24.379232,121.215849,3585.0,,,
凱蘭特崑山,凱蘭特崑山,peak,24.39514,121.234174,3729.0,,,
凱蘭特崑山北峰,凱蘭特崑山北峰,peak,24.398403,121.235054,3707.0,,,
三六九山莊,三六九山莊,shelter,24.392355,121.25473,3100.0,,,
素密達山,素密達山,peak,24.425079,121.253553,3517.0,,,
品田山,品田山,peak,24.428396,121.266918,3524.0,,,
新達山,新達山,peak,24.427204,121.274149,3387.0,,,
池有山,池有山,peak,24.43074,121.288033,3300.0,,,
桃山,桃山,peak,24.432772,121.305027,3324.0,,,
詩崙山,詩崙山,peak,24.438945,121.314726,3193.0,,,
大霸尖山,大霸尖山,peak,24.458762,121.258045,3490.0,,,
東霸尖山,東霸尖山,peak,24.457776,121.271982,3363.0,,,
中霸尖山,中霸尖山,peak,24.464426,121.254977,3392.0,,,
小霸尖山,小霸尖山,peak,24.455568,121.252145,3419.0,,,
伊澤山,伊澤山,peak,24.469904,121.243744,3296.0,,,
加利山,加利山,peak,24.45928,121.216192,3112.0,,,
九九山莊,九九山莊,peak,24.469162,121.208382,9999.0,,,
大鹿林道登山口,大鹿林道登山口,trailhead,24.505503,121.116092,9999.0,,,
霸南避難山屋,霸南避難山屋,shelter,24.450959,121.261007,3119.0,,,
新達山屋,新達山屋,shelter,24.42988,121.27887,3250.0,,,
桃山山屋,桃山山屋,shelter,24.432772,121.30271,3220.0,,,
雪山登山口,雪山登山口,trailhead,24.385603,121.298997,9999.0,,,
桃山登山口,桃山登山口,trailhead,24.397045,121.307709,9999.0,,,
巴紗拉雲山,巴紗拉雲山,peak,24.438515,121.258078,3407.0,,,
穆特勒步山,穆特勒步山,peak,24.424918,121.249237,3623.0,,,
素密達山屋,素密達山屋,shelter,24.423404,121.250895,3500.0,,,
馬達拉溪登山口營地,馬達拉溪登山口營地,trailhead,24.484014,121.192245,9999.0,,,
中霸山屋,中霸山屋,shelter,24.464807,121.251415,3300.0,,,
中霸坪,中霸坪,waypoint,24.463059,121.258013,3392.0,,,
品田山前峰,品田山前峰,peak,24.427477,121.269236,3442.0,,,
布秀蘭山,布秀蘭山,peak,24.428904,121.259108,3452.0,,,
林專山,林專山,peak,24.420776,121.225462,3045.0,,,
